,Country,FormalEducationPercent,CO2,EnergyUse,GDP,Inequality,LifeExpectancy,SolarAndWindElectricity,GreenhouseGasEmissions,SchoolingYears
0,Afghanistan,0.4172413793103447,0.00612466027451106,0.002983039807419658,0.005126005388924956,0.49536144616671407,0.593019346679367,0.0005103140024058171,0.001584002704345878,0.268350419310744
1,Africa,0.6255113793103447,,0.01749757612663935,,,0.5491591358429853,0.008342922844635907,0.018648240913362448,
2,Africa (WID),,,,,0.8309236727220535,,,,
3,Albania,0.9844827586206896,0.042636200306740084,0.06215815494856769,0.08333657468787238,0.3664517040347979,0.8645152123972433,0.0036921606309169787,0.02794490838765079,0.6360564437059153
4,Algeria,0.8224137931034481,0.09169207731472748,0.06814436613540559,0.08689265078660727,0.4131508900066755,0.7976603084902866,0.0038255008729941144,0.08067166248370701,0.46055888778238563
5,American Samoa,,,0.15616956330957965,,,0.7294386501348744,0.05922956400142198,,
6,Americas,,,,,,0.8182956992259727,,,
7,Andorra,,0.12424640170105246,,,,0.9533382427099759,,0.07941512407128438,
8,Angola,,0.013298181767304037,0.012304873676016759,0.037169931139764516,0.857772765615507,0.564651687731628,0.00014743735890093254,0.016567568254087613,0.1912431337835029
9,Anguilla,,0.21340420645018074,,,,0.858704004610545,,,
10,Antarctica,,,,,,,,,
11,Antigua and Barbuda,,0.16052952525901207,0.12988598604014692,,,0.8244070727041327,0.05595643818401483,0.10664826027790747,0.5881063933061127
12,Argentina,0.9931034482758619,0.10042059149396769,0.09820596342056163,0.11910455128109046,0.5779731293072692,0.820346831450961,0.10167848367940456,0.07237056407995038,0.5849846187171694
13,Armenia,0.9913793103448276,0.06429482411555873,0.07795781098204847,0.08912138126435067,0.6391317414358163,0.7860879205321337,0.03113785173923253,0.037299815261180265,0.5456994915218252
14,Aruba,,0.1915511351946639,0.20317742752999965,,,0.7995013247312516,0.3696597356224887,,
15,Asia,0.8116765517241378,,0.08780087041673694,,,0.763743586459726,0.09152200063228125,0.07723358557243393,
16,Asia (WID),,,,,0.7646942062643625,,,,
17,Asia (excl. China and India),,,,,,,,0.07194102366438689,
18,Asia (excluding Middle East) (WID),,,,,0.7488800653053084,,,,
19,Australia,0.9862068965517239,0.34004372262230187,0.2788518074200104,0.3463108531446841,0.3991208281179664,0.9509809414796967,0.794243092458669,0.2409627514672132,0.8500219802647881
20,Austria,0.9689655172413791,0.1534941804740865,0.18934562957360898,0.2907389821917009,0.3008507478459957,0.9116212149106306,0.3868462677697919,0.09934872347040397,0.8202014528885259
21,Azerbaijan,,0.0990565953578448,0.09646079664211656,0.11500305936978499,0.565310607124405,0.7609920676213271,0.0034266583936645944,0.08892745179802243,0.5727474546581851
22,Bahamas,,0.1425377488154974,0.15626158100991652,,0.7805431769612353,0.7634574285005323,0.0,0.10280106612657017,
23,Bahrain,0.5637931034482757,0.5772321407191968,0.7102175971310438,0.2561351471394692,0.8065204914170009,0.8981657875147082,0.0017820320889286507,0.6230209845765108,0.6675288378547337
24,Bangladesh,0.6241379310344826,0.015395692924498048,0.012960329853082903,0.029139062738379642,0.37981518594118785,0.7658687595552747,0.001259041162557932,0.008985982254385112,0.35665073561009175
25,Barbados,0.989655172413793,0.09920967899902784,0.10150423416313838,0.07369662363213522,,0.7960033938734182,0.07452116502409098,0.06753610646928399,
26,Belarus,,0.1396204502278859,0.1374077960513236,0.1218471511542573,0.1895099309639947,0.7610981261656433,0.00897817239239741,0.12408592854309729,0.8087057951457424
27,Belgium,0.95,0.16747322174840346,0.2421988395207603,0.2778130952118859,0.23611844261842327,0.9148049723447342,0.5147850440563596,0.11526030745490988,0.8463247251222416
28,Belize,1.0,0.03816520018438586,0.03278663443123019,,0.7805433119602193,0.7437225348392313,0.006473403916208307,0.03271022520830417,
29,Benin,0.3568965517241379,0.009573678609522577,0.010953685393977614,0.012658259345700118,0.6164601470962426,0.48774523536992426,0.0003929604535634033,0.006597945441796057,0.32619812241738483
30,Bermuda,,0.19146056677146436,0.20494028018627125,,,0.9186851141830289,0.0,,
31,Bhutan,,0.05107148219614481,0.12248465335723542,,0.6887876526509447,0.7319100143279091,0.0,0.04695022579866365,0.3884576608284302
32,Bolivia,0.9172413793103447,0.0442644599835465,0.031131676650312374,0.03960968406219478,0.7805431769612353,0.643983478880342,0.017365438877950046,0.03559553211181335,
33,Bonaire Sint Eustatius and Saba,,,,,,0.8211632821317368,,,
34,"Bonaire, Saint Eustatius and Saba",,0.09934179903162683,,,,,,,
35,Bosnia and Herzegovina,,0.14753579706362993,0.10144913110410748,0.0777149048851966,0.3935786923363935,0.8294658651575668,0.038403463641861216,0.10884033943809449,0.5275282970689448
36,Botswana,0.9534482758620689,0.058909641635445056,0.041373131201794186,0.10604440188837784,0.8909408459427822,0.6556239043952262,0.000997442724108936,0.04781852363495431,0.27119833152876555
37,Brazil,0.9293103448275861,0.052767726879064725,0.07849516719722831,0.0945226972904145,0.8459581945496906,0.7893997486612612,0.178757869081054,0.0460242009461665,0.5342180228064527
38,British Virgin Islands,,0.13792533236827176,0.08955988349185529,,,0.8179675180699747,0.0,,
39,Brunei,0.646551724137931,,0.4552310568246549,,0.40213913539765833,0.7789619870168333,0.0,0.5227406162362439,0.6611258624618823
40,Brunei Darussalam,,0.6105689030384509,,,,,,,
41,Bulgaria,0.9706896551724138,0.12669714848911307,0.13134819199810127,0.1345858999684314,0.5471020791890989,0.7851594079932124,0.19889476715128446,0.09161449296968954,0.6110055979625726
42,Burkina Faso,,0.00624619286313313,0.003988254231936975,0.007461383890773287,0.7879752310164486,0.49411275023813145,0.0013885159362419146,0.004339300510818204,0.2193462514512876
43,Burundi,0.4206896551724137,0.001258497304122192,0.0012955328699445258,0.0008132975276002036,0.6367605517849464,0.545323018306105,0.0002035421654189388,9.374842696199836e-05,0.2788942337263357
44,Cambodia,0.7827586206896551,0.0279553593923117,0.017787625845468277,0.022533132605596688,0.8440390264962282,0.6857285221442238,0.006102116043283717,0.01737584660180121,0.4372179471190693
45,Cameroon,0.7896551724137931,0.008146650794734393,0.007025065191327078,0.014913855094201529,0.7500057768315148,0.546293554041831,0.00018797182019600721,0.009861764122184884,0.2904151583086287
46,Canada,0.9948275862068964,0.33250724664763026,0.4404559429883473,0.30242865614881165,0.43282474191175535,0.9251146632941384,0.30835096593420863,0.23549167854909425,0.8973068905424296
47,Cape Verde,,0.020977177414667314,0.03195755689082268,0.04446499467335348,0.6799239343725839,0.7936120738647734,0.030961212825601884,0.015431944876019173,
48,Cayman Islands,,,0.1946979131281319,,,0.8796375599330832,0.07635323794894264,,
